,b,ç,d,eː,f,h,iː,j,k,x,n,ʁ,l,m,œ,oː,p,p͡f,s,t,t͡s,uː,v,yː,z,øː,ŋ,ɑ,ɑː,ɔ,ɛ,ɡ,ɪ,ʃ,ʊ,ʏ
b,1.0,0.54,0.82,0.5,0.86,0.79,0.5,0.57,0.82,0.75,0.71,0.71,0.64,0.89,0.54,0.5,0.96,0.89,0.71,0.79,0.75,0.5,0.89,0.5,0.75,0.5,0.75,0.57,0.54,0.54,0.54,0.86,0.54,0.71,0.54,0.54
ç,0.54,1.0,0.64,0.54,0.61,0.61,0.57,0.64,0.71,0.79,0.57,0.71,0.57,0.46,0.5,0.39,0.57,0.57,0.71,0.68,0.68,0.43,0.57,0.5,0.68,0.46,0.61,0.5,0.46,0.43,0.57,0.68,0.61,0.79,0.46,0.54
d,0.82,0.64,1.0,0.39,0.68,0.68,0.39,0.46,0.71,0.64,0.89,0.61,0.82,0.71,0.36,0.32,0.79,0.71,0.86,0.96,0.89,0.32,0.71,0.32,0.89,0.32,0.64,0.46,0.43,0.36,0.43,0.75,0.43,0.79,0.36,0.36
eː,0.5,0.54,0.39,1.0,0.46,0.54,0.96,0.89,0.57,0.61,0.43,0.68,0.5,0.54,0.86,0.86,0.46,0.43,0.39,0.36,0.36,0.82,0.5,0.89,0.43,0.93,0.64,0.82,0.86,0.79,0.93,0.61,0.89,0.39,0.75,0.82
f,0.86,0.61,0.68,0.46,1.0,0.86,0.46,0.54,0.75,0.82,0.61,0.71,0.61,0.79,0.5,0.46,0.89,0.96,0.79,0.71,0.75,0.46,0.96,0.46,0.75,0.46,0.64,0.54,0.5,0.5,0.5,0.71,0.5,0.79,0.5,0.5
h,0.79,0.61,0.68,0.54,0.86,1.0,0.54,0.61,0.75,0.82,0.61,0.71,0.61,0.71,0.5,0.46,0.82,0.82,0.79,0.71,0.75,0.46,0.82,0.46,0.75,0.46,0.64,0.61,0.57,0.5,0.57,0.71,0.57,0.79,0.5,0.5
iː,0.5,0.57,0.39,0.96,0.46,0.54,1.0,0.93,0.61,0.64,0.43,0.64,0.5,0.54,0.82,0.82,0.46,0.43,0.39,0.36,0.36,0.86,0.5,0.93,0.43,0.89,0.68,0.79,0.82,0.75,0.89,0.64,0.93,0.39,0.79,0.86
j,0.57,0.64,0.46,0.89,0.54,0.61,0.93,1.0,0.68,0.71,0.5,0.71,0.57,0.61,0.82,0.75,0.54,0.5,0.46,0.43,0.43,0.79,0.57,0.86,0.5,0.82,0.75,0.79,0.75,0.75,0.89,0.71,0.93,0.46,0.79,0.86
k,0.82,0.71,0.71,0.57,0.75,0.75,0.61,0.68,1.0,0.93,0.61,0.79,0.54,0.71,0.54,0.5,0.86,0.79,0.68,0.75,0.71,0.54,0.71,0.54,0.64,0.5,0.86,0.61,0.57,0.54,0.61,0.96,0.64,0.68,0.57,0.57
x,0.75,0.79,0.64,0.61,0.82,0.82,0.64,0.71,0.93,1.0,0.57,0.86,0.57,0.68,0.57,0.54,0.79,0.79,0.75,0.68,0.71,0.57,0.79,0.57,0.71,0.54,0.82,0.64,0.61,0.57,0.64,0.89,0.68,0.75,0.61,0.61
